Conversation.json#dialog
测试物品获得|Test Items Acquired
在这乱世，NI真是一个难得之人啊，这是当初答应NI的报酬，请NI一定收下！|In this troubled time, you are truly a rare person. This is the reward I promised you. Please accept it!
最近听说学府的先生正在为人手不够而发愁，不知NI是否愿意去帮忙？|I recently heard that a professor at an institution is worried about lack of staff. I wonder if NI is willing to help?
WO理应前去帮忙。|WO should go and help.
那就有劳NI了。|Then I'll trouble you.
最近前来求学之人怎么这么多，我一人分身乏术啊...|Why are there so many people coming to study recently? I can't handle it all by myself...
总不能让那么多好学之人滞留门外吧..|We can't let so many eager learners stay outside the door...
这可如何是好..如何是好..|What should I do.. What should I do..
NI不必担心，我愿助NI一臂之力！|Don't worry, I'm willing to lend a helping hand!
这位大人真是热心，那就有劳NI了，今天我需要NI帮我传授的是...|This gentleman is really enthusiastic. I'll trouble you now. What I need you to teach me today is...
传授学术已有一些时日了，不妨让我们来一场辩论研讨，验证一下成果吧！|It has been some time since we have been imparting academic knowledge. Why not have a debate and discussion to verify the results?
不愧是NI，WO对NI的学术造诣已完全信服了。|As expected of NI, WO is completely convinced of NI's academic achievements.
感谢NI的相助，这是NI应得的。|Thank you for your help, you deserve it.
唉，看来NI的学识仍需进步啊。|Alas, it seems that NI's knowledge still needs to be improved.
不过还是非常感谢NI这几天的帮助，这是你的报酬。|But I am still very grateful for NI's help over the past few days. This is your reward.
有传言华山一代出现了稀世珍宝，不知NI可否有兴趣随我一同前往调查呢？|There are rumors that rare treasures have appeared in the Huashan area. I wonder if you would be interested in going with me to investigate?
是宝物吗，有趣有趣，那就麻烦NI带路了。|Is it a treasure? Very interesting. Thank you. Please lead the way.
WO还有其他要事在身，恕不奉陪了。|WO has other important things to do, so I'm sorry I can't keep you company.
*华山山脚下*。|*At the foot of Mount Huashan*.
嘿嘿，有了这宝贝，这辈子不愁吃喝了。|Hehe, with this treasure, I will never have to worry about food and drink in this life.
且慢，这宝物我们收下了。|Wait a minute, we have accepted this treasure.
哈哈哈，哪里来的不怕死的，就看你有没有这条命留下宝贝了！|Hahaha, there is no one who is not afraid of death. It depends on whether you have the life to leave the treasure behind!
小的们跟我上！|Follow me, little ones!
NI小心！|NI be careful!
要怪就怪你们运气不好遇到了我们吧，宝物我们就收下了。|Just blame your bad luck for meeting us. We will accept the treasure.
可恶，算老子倒霉，小的们，咱们走。|Damn it, it’s my bad luck. Guys, let’s go.
NI真是实力惊人啊，三下五除二就把这帮贼徒打的落花流水。|NI's strength is amazing. He defeated these thieves in no time.
哈哈，过奖了，我们快快启程返回吧。|Haha, thank you for the compliment. Let’s set off and return quickly.
就这两把刷子就不要在这里晃荡了，快点消失吧。|Don't hang around here with just these two brushes, just disappear quickly.
今天NI不在状态，就先放过他们吧。|NI is not in good shape today, so let's leave them alone for now.
看来还是在提升些实力后再来做这种有风险的事比较好啊啊。|It seems that it would be better to improve my strength before doing such risky things.
真是惊险刺激的冒险，如果NI没有其他事情，那这里就先和NI告辞了。|It’s really a thrilling adventure. If you have nothing else to do, I’ll say goodbye here.
如果不是NI出手相助，可能WO也不会得此宝物，所以请NI一定收下宝物！|If NI hadn't helped, WO might not have gotten this treasure, so please accept the treasure!
NI如果执意相赠，我也只好收下了，感谢NI的重视。|If NI insists on giving it to me, I will have no choice but to accept it and thank NI for his attention.
......（SN1MING、SN2MING、SN3MING。）|...(SN1MING, SN2MING, SN3MING.)
......（这三人的实力不可小觑，先做好充分的准备再去挑战吧。）|......(The strength of these three people should not be underestimated. Be fully prepared before challenging them.)
早有听闻CH有着三寸不烂之舌，不知能否请教请教？|I've heard that CH has a silver tongue, could you please give me some advice?
好啊，请。|Yes, please.
当下稍有不便，让我们寻一僻静的场所。|It’s a little inconvenient at the moment, let’s find a secluded place.
此处正合适，让我们开始吧！|This is the perfect place to start!
精彩，绝妙的论点，WO心服口服。|Wonderful, wonderful argument, WO is convinced.
希望之后与SN2MING、SN3MING过招也可以如此顺利...|hope that the competition with SN2MING and SN3MING can be so smooth in the future...
SN2MING与SN3MING也并非等闲之辈，希望NI不要掉以轻心。|SN2MING and SN3MING are not ordinary people either. I hope NI will not take it lightly.
竟然输给了NI...|Lost to NI...
看来NI还有进步空间，日后若想再来挑战，WO随时奉陪。|It seems that NI still has room for improvement. If you want to challenge again in the future, WO is always here to accompany you.
CH的口才远近闻名，今日能否让WO领教领教？|CH's eloquence is well-known far and wide. Can WO learn from him today?
呵呵，CH若输了，可别往心里去。|Haha, if CH loses, don’t take it seriously.
精彩，精彩，NI只要再战胜一人，就可成为这一带最强名士了。|Wonderful, wonderful. If NI defeats one more person, he will become the strongest celebrity in this area.
等NI多长些见识后再来与我争辩吧。|Wait until you have more experience before arguing with me.
凭借口才就让天下皆知，真不愧是NI。|He has made himself known to the world through his eloquence, he is truly worthy of being called NI.
呵呵，想必NI也是来挑战WO的人吧，明白了。|Haha, I guess NI is also here to challenge WO, I see.
直接放马过来吧。|Just come on.
如此精彩的反击，我从未见过。|I have never seen such a wonderful counterattack.
看来其他人也不是平白无故的败给了你。|It seems that others did not lose to you for no reason.
这次辩论之旅使我也成长了很多。|This debate journey has made me grow a lot.
终于结束了...|It's finally over...
战胜SN1MING、SN2MING、SN3MING后，AMING威名远扬。|After defeating SN1MING, SN2MING and SN3MING, AMING became famous.
唉，你为什么要离开我... 。|Alas, why did you leave me...
这位..你是遇到什么烦心事了吗？|Hey...are you having any troubles?
（对方似乎还沉浸在伤痛中，没有注意到你。）|(The other person seems to be still immersed in pain and does not notice you.)
这位仁兄.. 你有什么困难可以讲讲，或许我可以帮到你。|Dear buddy, if you have any difficulties, please tell me, maybe I can help you.
呜呜...都怪那厮仗着自己有点权势，就抢我老婆啊，NI能帮我去讨个公道吗？|Woohoo...It's all that guy's fault for taking advantage of his power to steal my wife. Can you help me get justice?
唉，最近我家夫人总是不爱与我讲话，我就纳闷，果不其然，前些日子发现了她已经和那土豪勾搭到一起了。|Alas, my wife has been reluctant to talk to me recently, and I was wondering, and sure enough, I found out a few days ago that she had been hooking up with that rich guy.
